Designator,Footprint,Quantity,Value,LCSC Part #
ANT401,ANTC3216X140N,1,2450AT18A100E,
BT101,BatteryHolder_Keystone_1042_1x18650_DUALSIDE,1,Battery_Cell,
C201,0603,1,4u7,
C202,0603,1,1u,
C203,0603,1,4u7,
C301,0603,1,2u2,
C302,0603,1,2u2,
C303,0603,1,2u2,
C304,0603,1,2u2,
C401,0201,1,15p,
C402,0201,1,15p,
C403,0402,1,100n,
C404,0402,1,100n,
C405,0402,1,100n,
C406,0201,1,C,
C407,0201,1,C,
C408,0402,1,100n,
C409,0603,1,10u,
C410,0402,1,1u,
C411,0402,1,100n,
C412,0402,1,100n,
C413,0402,1,1u,
C414,0402,1,100n,
C415,0402,1,100n,
C416,0402,1,100n,
D201,0402,1,LED,
D202,0402,1,LED,
D401,0402,1,LED,
"D601, D602, D603, D604, D605, D606, D607, D608, D609, D610, D611, D612, D613, D614, D615, D616, D617, D618, D619, D620, D621, D622, D623, D624, D625, D626, D627, D628, D629, D630, D631, D632, D633, D634, D635, D636, D637, D638, D639, D640",YF923_2020_WS2812_LED_DUALSIDE,40,YF923_2020_WS2812_LED,
J101,USB4510031A,1,USB4510-03-1-A,
J401,PinHeader_1x08_P1.27mm_Vertical,1,Conn_01x08_Female,
J402,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
L401,0201,1,L,
R101,0201,1,5.1k,
R102,0201,1,5.1k,
R201,0402,1,0,
R202,0402,1,36k5,
R203,0402,1,590,
R204,0402,1,1k1,
R205,0402,1,1k5,
R206,0402,1,1k5,
R207,0402,1,100k,
R301,0201,1,0k,
R401,0201,1,0,
R402,0402,1,2k,
R403,0201,1,10k,
R404,0201,1,10k,
R405,0201,1,nu,
R406,0201,1,nu,
R407,0201,1,nu,
R408,0201,1,nu,
"RN501, RN502, RN503, RN504, RN505",EXB2HV_1,5,EXB-2HV103JV,
"S401, S402",SKRPABE010,2,SKRPABE010,
SW501,SKRPABE010,1,SW_Push,
"SW502, SW503, SW504, SW505, SW506, SW507, SW508, SW509, SW510, SW511, SW512, SW513, SW514, SW515, SW516, SW517, SW518, SW519, SW520, SW521, SW522, SW523, SW524, SW525, SW526, SW527, SW528, SW529, SW530, SW531, SW532, SW533, SW534, SW535, SW536, SW537, SW538, SW539, SW540",Kailh_socket_PG1350_reversible,39,SW_Push,
TP201,TestPoint_Pad_D1.0mm,1,TestPoint,
U201,QFN50P300X300X100-17N-D,1,BQ24075RGTR,
"U301, U302",SON40P120X120X60-7N-D,2,MIC5528-3.3YMT-T5,
U401,QFN40P700X700X90-57N-D,1,ESP32-S2FH4,
"U501, U502, U503, U504, U505",SOP65P640X120-16N,5,SN74HC165PWR,
Y601,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24_Small,
